LAX,PHL
MSP,CLT
PBI,DCA
PHL,PHX
PHX,CLT
PIT,CLT
SAV,CLT
ABQ,DAL
AUS,ELP
BHM,LAS
BUF,MCO
BUR,SJC
BUR,SMF
BWI,MCI
DAL,STL
DEN,HOU
DEN,MCI
DTW,BNA
ELP,AUS
FLL,LAS
GEG,OAK
HOU,BWI
HOU,TUL
IAD,TPA
LAS,OAK
MCI,BNA
MCO,RDU
MHT,TPA
MSY,BWI
OAK,ABQ
OAK,HOU
OKC,PHX
PHL,MDW
PHX,ONT
PIT,BWI
RDU,BWI
RNO,OAK
RSW,MCO
SAN,RNO
SAT,BNA
SEA,ABQ
SLC,ABQ
SLC,MDW
STL,DAL
STL,MCO
TPA,JAX
IAH,DFW
AUS,CLT
GJT,PHX
IAD,LGA
MDT,CLT
RKS,DEN
SAT,CLT
SDF,CLT
SGU,LAX
ATL,DTW
BWI,LAX
PIT,LGA
DAY,MSP
MKE,DTW
DLH,MSP
SAV,ORD
SMF,SFO
GSP,MEM
LEX,MEM
ORD,FLL
AUS,SJC
BWI,DFW
JAX,DFW
MCO,DFW
DAY,DFW
MSP,DFW
ORD,RDU
DTW,DFW
RIC,DFW
PDX,SNA
ANC,ADQ
IAD,OAK
JFK,BOS
LGB,SMF
SLC,LGB
IAH,MSP
IAH,FLL
CMH,CVG
PHL,SLC
BOS,PBI
BWI,MCO
IND,RSW
SFO,SNA
LFT,DFW
CWA,ORD
MSP,LAS
GEG,MSP
LAX,MEM
ABQ,SLC
ROC,ORD
FLL,PHX
TPA,DCA
ABQ,SAN
ALB,MCO
AUS,PHL
BUF,TPA
BWI,JAX
DAL,MAF
DAL,TUL
HOU,ABQ
HOU,SAT
ISP,PBI
LAX,HOU
LAX,RNO
MAF,HOU
MCO,STL
MDW,MCI
PHX,BUR
SJC,BUR
TUL,DAL
IAH,MEM
BUR,DEN
TUS,SFO
GSP,IAH
IAH,DTW
ACV,SFO
EWR,DEN
RDU,MEM
TUL,MSP
TLH,MEM
ORF,DFW
BUR,DFW
DFW,LAS
ELP,ORD
ORD,LAS
PDX,LAS
ANC,BET
SEA,ONT
EWR,AUS
IAH,MSY
LGA,MSY
LEX,ATL
AEX,DFW
DTW,DCA
MSP,LAX
SLC,DTW
MCI,CVG
DFW,SLC
PDX,OTH
FCA,DEN
DFW,SFO
BUF,PHL
DCA,PHX
MCO,DCA
SYR,PHL
BOI,LAS
BUR,LAS
BWI,ISP
DAL,MSY
DEN,BWI
ELP,SAT
MCI,BWI
MCO,PVD
MDW,RSW
MHT,MDW
PBI,BWI
PHL,FLL
PHX,SJC
PHX,SNA
PVD,PHL
SAN,MDW
SDF,MDW
SLC,LAS
STL,MCI
TPA,PBI
TUS,LAS
CLE,MSP
IAH,BNA
TUL,EWR
GSO,CLT
SBN,MSP
SAV,DTW
LGA,DEN
MSY,LAX
OMA,MSP
MSO,DEN
ORD,MCO
IAH,GPT
SLC,ORD
SFO,BOI
IAH,MCI
IND,FLL
FWA,MSP
ORF,MEM
MSN,LGA
CAE,DTW
DFW,BNA
SAT,ORD
ORD,STL
MIA,PHL
CLT,DFW
DFW,DTW
EGE,DFW
FLL,IAD
JFK,MSY
LGB,JFK
SYR,MCO
IAH,BOS
IAH,SAN
CLE,FLL
IAH,TPA
MCO,SLC
LGA,MCO
PBI,LGA
DFW,AMA
DFW,XNA
SAV,DFW
RST,ORD
ORD,TYS
CMI,ORD
CVG,MIA
MIA,TLH
CMH,LGA
IND,MSP
MSP,BOS
MSP,DCA
DAY,CVG
JAX,LGA
HLN,SLC
BUR,SLC
SFO,MRY
SFO,SAN
BDL,PHL
DTW,PHL
IAD,CLT
MYR,CLT
AUS,BWI
BWI,ALB
DAL,ABQ
FLL,BNA
HOU,JAN
LIT,DAL
MCI,MCO
MDW,PHX
OKC,DAL
ORF,MCO
PIT,TPA
IAH,PBI
OKC,EWR
IAH,PNS
IAH,JAN
CMH,MEM
MEM,CVG
LAX,BOS
MCO,MIA
SJC,ORD
DFW,MSY
RNO,DFW
SJU,MIA
IAD,PBI
MSY,EWR
IAH,LAS
LAX,CVG
HSV,CVG
EYW,ATL
HPN,CVG
DFW,CRP
DFW,ELP
DFW,LBB
ORD,RST
DTW,MCO
MSP,MCO
CVG,BOS
MIA,DEN
ORF,CLT
DAL,LBB
HOU,BNA
ISP,LAS
MCI,DAL
MCI,TPA
MSY,BNA
SDF,TPA
SNA,OAK
IAH,RDU
IAH,MOB
CLE,MEM
HLN,DEN
SFO,BUR
SMF,IAD
COD,DEN
IAH,PHL
LIT,EWR
DFW,RDU
MIA,SFO
DEN,LAX
DFW,SAT
JAC,DFW
SEA,SMF
JNU,ANC
IAD,LGB
PDX,EWR
IAH,BWI
TPA,EWR
