Month,Pharma1,Pharma2,Aluminum,FMCG,Housing,Software1,Infrastructure,Automobile,Refineries,Bank,Power,Steel,Software2
Jan-06,176.52,559.8,149.63,194.8,268,719.92,361.13,279.25,356.85,83.67,45.52,357.28,317.94
Feb-06,220.76,651.42,139.19,241.95,271.17,707.15,399.5,294.1,354.38,82.77,49.3,380.66,312.15
Mar-06,264.78,710.15,165.65,272.3,267.21,745.21,405.43,313.55,398.13,91.34,55.92,474.07,335.13
Apr-06,260.8,715.92,203.74,287.95,262.38,794.38,451.9,315.63,510.85,86.2,53.38,570.37,323.4
May-06,229.5,678.7,161.52,233.7,225.19,727.01,386.38,304.85,476.63,78.41,47.98,456.66,269.91
Jun-06,215.8,637,158.84,229.1,226,769.39,373.85,310.57,529.38,68.63,46.33,471.33,308.25
Jul-06,236,698.48,146.31,232.25,234.96,826.95,368.49,295.25,489.5,76.43,47.39,439.08,294.78
Aug-06,249.95,720.5,156.62,234.6,261.67,904.4,400.18,324.52,558.8,87.75,50.96,438.55,310.74
Sep-06,262.25,731.3,155.58,256.2,306.86,923.95,424.35,340.25,585.52,97.02,54.73,473.41,315.06
Oct-06,262.05,748.05,171.96,233.6,294.1,1047.4,437.6,391.27,613.1,103.36,52.23,433.46,322.89
Nov-06,253.85,750.8,157.39,235.85,329.59,1090.22,456.47,410.52,622.5,123.98,56.07,413.58,359.37
Dec-06,250.7,811.2,158.07,216.55,324.91,1120.25,480.98,452.93,635.17,117.55,54.03,426.26,362.73
Jan-07,245.8,742.8,159.8,208.2,334.15,1122.22,529.13,450.1,682.3,107.38,58.49,410.04,367.74
Feb-07,233.3,677.2,126.79,176.15,300.38,1039.18,495.83,403.02,677.3,98.05,52.49,391.08,336.51
Mar-07,235.7,727.5,118.3,205.25,304.07,1006.3,539.72,390.07,684.17,93.68,49.16,397.36,335.01
Apr-07,210.85,709.6,132.56,199.4,331.94,1024.68,565.47,389.43,780.05,104.28,57.1,485.74,342.75
May-07,217.65,649.45,127.88,203.5,374.16,960.13,666.22,379.07,880.1,127.6,56,558.74,326.73
Jun-07,208.45,655.95,145.41,188.85,406.04,964.6,732.02,361.43,850.15,143.92,64.75,527.81,311.1
