Date,Pharma,FMCG,Power,Steel
17-Jun-96,80.25,87.45,20.41,154.08
18-Jun-96,78.5,90.45,20.87,155.4
19-Jun-96,77,92.1,20.1,151.28
20-Jun-96,75.38,90.53,20.22,153.49
21-Jun-96,75.13,88.58,20.07,149.22
24-Jun-96,74.31,87.3,19.95,151.13
25-Jun-96,74.13,82.73,19.37,147.45
26-Jun-96,73.56,82.88,18.91,143.62
27-Jun-96,74.63,83.75,19.01,146.42
28-Jun-96,75.38,82.15,18.87,142.73
1-Jul-96,76.31,82.05,18.38,140.53
2-Jul-96,77.63,81.98,18.05,139.05
3-Jul-96,77.44,82.38,17.3,134.93
4-Jul-96,77.94,85.85,17.68,136.55
5-Jul-96,80.31,87.03,17.8,135.66
8-Jul-96,81.94,88.55,18,136.4
9-Jul-96,82.13,87.23,17.37,129.48
10-Jul-96,80.5,86.48,17.61,131.54
11-Jul-96,80.31,86.75,17.78,133.6
12-Jul-96,78.69,86.03,17.1,130.51
15-Jul-96,78.56,86.5,17.2,134.93
16-Jul-96,77.75,84.85,15.49,131.1
17-Jul-96,78.75,86.45,16.36,132.87
18-Jul-96,78.75,87.23,16.38,137.73
19-Jul-96,78.31,86.9,16.21,133.45
22-Jul-96,77.88,87.8,16.77,133.16
23-Jul-96,76.25,85.85,15.8,119.9
24-Jul-96,73.88,85.88,15.8,112.54
25-Jul-96,72,85,16.16,112.69
26-Jul-96,70.25,85.55,16.19,110.77
29-Jul-96,65.63,84.2,15.87,109.15
30-Jul-96,62.81,83.98,15.73,108.27
31-Jul-96,66.06,85.25,16.12,117.25
1-Aug-96,68.63,86.45,15.8,114.6
2-Aug-96,68.56,86.1,15.73,111.21
5-Aug-96,69.75,86.3,15.56,111.21
6-Aug-96,69.44,86.45,15.34,110.77
7-Aug-96,72.5,87.58,15.85,117.69
8-Aug-96,71.75,86.55,15.44,113.42
9-Aug-96,69.5,86.08,15.49,111.8
12-Aug-96,69.25,85.28,15.3,110.18
13-Aug-96,66.31,84.55,15.17,109.89
14-Aug-96,65.25,84.03,14.98,109.59
16-Aug-96,64.38,83.5,14.55,110.18
19-Aug-96,62.5,81.88,13.78,106.35
20-Aug-96,62.44,82.68,13.97,108.27
21-Aug-96,63,84.48,14.76,113.72
22-Aug-96,63.94,84.08,14.45,111.07
23-Aug-96,64.94,84.65,14.48,110.92
26-Aug-96,64.81,84.73,14.52,111.65
27-Aug-96,64.94,84.28,14.52,112.54
29-Aug-96,66.19,85,14.69,114.9
30-Aug-96,66,84.18,14.76,115.19
2-Sep-96,68.38,82.7,15.13,117.84
3-Sep-96,67.25,81.2,14.55,114.01
4-Sep-96,67.38,82.58,14.57,114.9
6-Sep-96,67.94,83.53,15.15,113.42
9-Sep-96,67.88,82.23,14.72,112.39
10-Sep-96,66.56,81.65,14.35,110.33
11-Sep-96,66.19,82.18,14.21,108.27
12-Sep-96,65.75,82.4,14.4,108.12
13-Sep-96,65.75,81.8,14.02,105.47
18-Sep-96,65.69,82.9,14.11,108.71
19-Sep-96,65.25,82.88,13.65,103.7
20-Sep-96,64.75,82.65,13.24,102.67
23-Sep-96,62.75,82.53,13.46,101.2
24-Sep-96,62.38,82.6,13.27,102.23
25-Sep-96,62,82.6,13.12,101.64
26-Sep-96,58.56,81.85,12.71,100.16
27-Sep-96,57.13,82.08,12.23,98.54
30-Sep-96,54.75,81.85,12.04,101.05
1-Oct-96,55,81.8,11.8,100.9
3-Oct-96,53.81,81.28,11.58,100.75
4-Oct-96,50.94,78.58,11.34,99.58
7-Oct-96,48.5,76.83,10.69,97.22
8-Oct-96,50.44,78.28,10.9,96.63
9-Oct-96,50.88,77.58,11.1,97.51
10-Oct-96,54.5,79.18,11.63,99.58
11-Oct-96,55,79.88,11.63,102.23
14-Oct-96,53.75,78.48,11.19,100.75
15-Oct-96,52.56,79.75,11.51,101.2
16-Oct-96,53,79.38,11.56,100.46
17-Oct-96,52.94,79.43,11.75,101.64
18-Oct-96,53,80.53,11.75,101.64
22-Oct-96,53.5,81.45,12.4,103.26
23-Oct-96,56.19,82.5,13.22,113.57
24-Oct-96,56,81.8,12.33,109.59
25-Oct-96,56.38,81.4,12.4,111.8
28-Oct-96,56.88,81.1,12.42,112.83
29-Oct-96,56.25,80.38,12.28,112.39
